game_id,move_number,fen,move_uci,eval_cp,turn
1,88,3r4/5k1p/5Rp1/1p1P2KP/p3p3/P1P5/1P6/8 b - - 1 44,f7e8,0,black
1,89,3rk3/7p/5Rp1/1p1P2KP/p3p3/P1P5/1P6/8 w - - 2 45,f6e6,0,white
1,90,3rk3/7p/4R1p1/1p1P2KP/p3p3/P1P5/1P6/8 b - - 3 45,e8f7,0,black
1,91,3r4/5k1p/4R1p1/1p1P2KP/p3p3/P1P5/1P6/8 w - - 4 46,e6f6,0,white
1,92,3r4/5k1p/5Rp1/1p1P2KP/p3p3/P1P5/1P6/8 b - - 5 46,f7e7,0,black
1,93,3r4/4k2p/5Rp1/1p1P2KP/p3p3/P1P5/1P6/8 w - - 6 47,f6e6,0,white
1,94,3r4/4k2p/4R1p1/1p1P2KP/p3p3/P1P5/1P6/8 b - - 7 47,e7f8,0,black
1,95,3r1k2/7p/4R1p1/1p1P2KP/p3p3/P1P5/1P6/8 w - - 8 48,d5d6,5,white
1,96,3r1k2/7p/3PR1p1/1p4KP/p3p3/P1P5/1P6/8 b - - 0 48,g6h5,0,black
1,97,3r1k2/7p/3PR3/1p4Kp/p3p3/P1P5/1P6/8 w - - 0 49,g5f6,0,white
1,98,3r1k2/7p/3PRK2/1p5p/p3p3/P1P5/1P6/8 b - - 1 49,e4e3,0,black
1,99,3r1k2/7p/3PRK2/1p5p/p7/P1P1p3/1P6/8 w - - 0 50,f6e5,0,white
1,100,3r1k2/7p/3PR3/1p2K2p/p7/P1P1p3/1P6/8 b - - 1 50,e3e2,0,black
1,101,3r1k2/7p/3PR3/1p2K2p/p7/P1P5/1P2p3/8 w - - 0 51,e5d5,0,white
1,102,3r1k2/7p/3PR3/1p1K3p/p7/P1P5/1P2p3/8 b - - 1 51,d8e8,0,black
1,103,4rk2/7p/3PR3/1p1K3p/p7/P1P5/1P2p3/8 w - - 2 52,d6d7,0,white
1,104,4rk2/3P3p/4R3/1p1K3p/p7/P1P5/1P2p3/8 b - - 0 52,e8e6,0,black
1,105,5k2/3P3p/4r3/1p1K3p/p7/P1P5/1P2p3/8 w - - 0 53,d7d8q,0,white
1,106,3Q1k2/7p/4r3/1p1K3p/p7/P1P5/1P2p3/8 b - - 0 53,f8f7,0,black
1,107,3Q4/5k1p/4r3/1p1K3p/p7/P1P5/1P2p3/8 w - - 1 54,d8d7,0,white
1,108,8/3Q1k1p/4r3/1p1K3p/p7/P1P5/1P2p3/8 b - - 2 54,e6e7,0,black
1,109,8/3Qrk1p/8/1p1K3p/p7/P1P5/1P2p3/8 w - - 3 55,d7f5,0,white
1,110,8/4rk1p/8/1p1K1Q1p/p7/P1P5/1P2p3/8 b - - 4 55,f7e8,0,black
1,111,4k3/4r2p/8/1p1K1Q1p/p7/P1P5/1P2p3/8 w - - 5 56,f5c8,0,white
1,112,2Q1k3/4r2p/8/1p1K3p/p7/P1P5/1P2p3/8 b - - 6 56,e8f7,0,black
1,113,2Q5/4rk1p/8/1p1K3p/p7/P1P5/1P2p3/8 w - - 7 57,c8f5,0,white
1,114,8/4rk1p/8/1p1K1Q1p/p7/P1P5/1P2p3/8 b - - 8 57,f7g7,0,black
1,115,8/4r1kp/8/1p1K1Q1p/p7/P1P5/1P2p3/8 w - - 9 58,f5g5,0,white
1,116,8/4r1kp/8/1p1K2Qp/p7/P1P5/1P2p3/8 b - - 10 58,g7f8,0,black
1,117,5k2/4r2p/8/1p1K2Qp/p7/P1P5/1P2p3/8 w - - 11 59,g5f5,0,white
1,118,5k2/4r2p/8/1p1K1Q1p/p7/P1P5/1P2p3/8 b - - 12 59,f8g7,0,black
1,119,8/4r1kp/8/1p1K1Q1p/p7/P1P5/1P2p3/8 w - - 13 60,f5g5,0,white
1,120,8/4r1kp/8/1p1K2Qp/p7/P1P5/1P2p3/8 b - - 14 60,g7f8,0,black
1,121,5k2/4r2p/8/1p1K2Qp/p7/P1P5/1P2p3/8 w - - 15 61,g5f4,0,white
1,122,5k2/4r2p/8/1p1K3p/p4Q2/P1P5/1P2p3/8 b - - 16 61,f8e8,0,black
1,123,4k3/4r2p/8/1p1K3p/p4Q2/P1P5/1P2p3/8 w - - 17 62,f4b8,0,white
1,124,1Q2k3/4r2p/8/1p1K3p/p7/P1P5/1P2p3/8 b - - 18 62,e8f7,0,black
1,125,1Q6/4rk1p/8/1p1K3p/p7/P1P5/1P2p3/8 w - - 19 63,b8f4,0,white
1,126,8/4rk1p/8/1p1K3p/p4Q2/P1P5/1P2p3/8 b - - 20 63,f7e8,0,black
1,127,4k3/4r2p/8/1p1K3p/p4Q2/P1P5/1P2p3/8 w - - 21 64,f4b8,0,white
1,128,1Q2k3/4r2p/8/1p1K3p/p7/P1P5/1P2p3/8 b - - 22 64,e8f7,0,black
1,129,1Q6/4rk1p/8/1p1K3p/p7/P1P5/1P2p3/8 w - - 23 65,b8f4,0,white
1,130,8/4rk1p/8/1p1K3p/p4Q2/P1P5/1P2p3/8 b - - 24 65,f7g8,0,black
1,131,6k1/4r2p/8/1p1K3p/p4Q2/P1P5/1P2p3/8 w - - 25 66,f4g5,0,white
1,132,6k1/4r2p/8/1p1K2Qp/p7/P1P5/1P2p3/8 b - - 26 66,g8f8,0,black
1,133,5k2/4r2p/8/1p1K2Qp/p7/P1P5/1P2p3/8 w - - 27 67,g5f4,0,white
1,134,5k2/4r2p/8/1p1K3p/p4Q2/P1P5/1P2p3/8 b - - 28 67,f8g8,0,black
1,135,6k1/4r2p/8/1p1K3p/p4Q2/P1P5/1P2p3/8 w - - 29 68,f4g3,0,white
1,136,6k1/4r2p/8/1p1K3p/p7/P1P3Q1/1P2p3/8 b - - 30 68,g8f7,0,black
1,137,8/4rk1p/8/1p1K3p/p7/P1P3Q1/1P2p3/8 w - - 31 69,g3f4,0,white
1,138,8/4rk1p/8/1p1K3p/p4Q2/P1P5/1P2p3/8 b - - 32 69,f7g8,0,black
1,139,6k1/4r2p/8/1p1K3p/p4Q2/P1P5/1P2p3/8 w - - 33 70,f4g5,0,white
1,140,6k1/4r2p/8/1p1K2Qp/p7/P1P5/1P2p3/8 b - - 34 70,g8f8,0,black
1,141,5k2/4r2p/8/1p1K2Qp/p7/P1P5/1P2p3/8 w - - 35 71,g5f4,0,white
1,142,5k2/4r2p/8/1p1K3p/p4Q2/P1P5/1P2p3/8 b - - 36 71,f8g8,0,black
1,143,6k1/4r2p/8/1p1K3p/p4Q2/P1P5/1P2p3/8 w - - 37 72,f4g5,0,white
